Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Joe Mixon;4018;2023;6;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;7;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;8;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;9;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;10;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;11;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;12;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;13;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;14;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;15;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2023;16;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;0;Swissguy;18970000,00 ;23712500,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;1;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;2;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;3;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;4;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;5;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;6;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;7;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;8;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;9;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;10;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;11;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;12;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;13;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;14;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;15;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Joe Mixon;4018;2024;16;Swissguy;18970000,00 ;23712500,00 ;1185625,00 ;1482031,25 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;0;Arneee;16240000,00 ;16240000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;1;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;2;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;3;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;4;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;5;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;6;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;7;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;8;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;9;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;10;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;11;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;12;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;13;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;14;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;15;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;16;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;0;Arneee;16240000,00 ;16240000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
