Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Cam Newton;954;2021;14;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;15;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Cam Newton;954;2021;16;Arneee;2349000 ;1740000 ;146813 ;108750 ;0,00 ;16;Roster;;2023;;;;;;;
Henry Ruggs III;6789;2021;0;Arneee;8890000 ;8890000 ;;;0,00 ;;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;1;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;2;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;3;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;4;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;5;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;6;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;7;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;8;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;9;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;10;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;11;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;12;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;13;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;14;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;15;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Henry Ruggs III;6789;2021;16;Arneee;8890000 ;8890000 ;555625 ;555625 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;0;Arneee;16240000 ;16240000 ;;;0,00 ;;Roster;;2024;;;;;;;
